Digeråsen tip                            (61.1788,11.2639) cell 61.2,11.2 drive 2.89h snap 168m | rel fakta 0.30 alt 0.55 innl 0.22 fly 0.11 | flyKm 16.4 | point: windyBlue=False sol23=True utelukket=None | treslag None (furu - gran - lauv -) | wind1749 1.2 m/s | h891 cells<=5km 1 (SE-road 0)
Kroktjennet ~891 moh                     (61.2405,11.0100) cell 61.2,11.0 drive 2.63h snap 3173m | rel fakta 0.30 alt 0.48 innl 0.17 fly 0.19 | flyKm 5.7 | point: windyBlue=False sol23=False utelukket=None | treslag None (furu - gran - lauv -) | wind1749 1.2 m/s | h891 cells<=5km 1 (SE-road 0)
Birkebeinervegen (retracted)             (61.3617,10.8462) cell 61.4,10.8 drive 3.69h snap 429m | rel fakta 0.00 alt 0.00 innl 0.00 fly 0.00 | flyKm 7.8 | point: windyBlue=True sol23=False utelukket=None | treslag None (furu - gran - lauv -) | wind1749 4.2 m/s | h891 cells<=5km 18 (SE-road 15)
Birkebeinerveien terrain hit (retracted) (61.4495,10.9752) cell 61.4,11.0 drive 3.27h snap 576m | rel fakta 0.51 alt 0.86 innl 0.30 fly 0.31 | flyKm 7.3 | point: windyBlue=True sol23=False utelukket=None | treslag 0.57 (furu 0.31 gran 0.68 lauv 0.01) | wind1749 4.2 m/s | h891 cells<=5km 5 (SE-road 5)
Prøysenstua                              (60.9120,10.8076) cell 60.9,10.8 drive 1.82h snap 63m | rel fakta 0.23 alt 0.43 innl 0.18 fly 0.04 | flyKm 21.2 | point: windyBlue=False sol23=False utelukket=None | treslag 0.73 (furu 0.13 gran 0.51 lauv 0.36) | wind1749 1.2 m/s | h891 cells<=5km 0 (SE-road 0)
Tretopphyttene                           (60.9748,10.9167) cell 61.0,11.0 drive 2.28h snap 797m | rel fakta 0.41 alt 0.70 innl 0.26 fly 0.21 | flyKm 11.3 | point: windyBlue=False sol23=False utelukket=None | treslag None (furu - gran - lauv -) | wind1749 1.2 m/s | h891 cells<=5km 0 (SE-road 0)
Benningstad                              (60.7685,11.3575) cell 60.8,11.4 drive 1.71h snap 83m | rel fakta 0.47 alt 0.65 innl 0.28 fly 0.27 | flyKm 9.0 | point: windyBlue=False sol23=False utelukket=None | treslag 0.76 (furu 0.41 gran 0.47 lauv 0.11) | wind1749 1.2 m/s | h891 cells<=5km 0 (SE-road 0)
Haslemoen                                (60.6600,11.8700) cell 60.7,11.8 drive 2.19h snap 41m | rel fakta 0.37 alt 0.21 innl 0.50 fly 0.01 | flyKm 31.7 | point: windyBlue=False sol23=True utelukket=C | treslag 0.63 (furu 0.77 gran 0.18 lauv 0.05) | wind1749 2.7 m/s | h891 cells<=5km 0 (SE-road 0)
NOZ56U at FLY_PUNKT                      (60.8705,11.2481) cell 60.9,11.2 drive 1.79h snap 72m | rel fakta 0.60 alt 1.00 innl 0.35 fly 0.39 | flyKm 2.9 | point: windyBlue=False sol23=False utelukket=None | treslag 0.61 (furu 0.28 gran 0.64 lauv 0.08) | wind1749 1.2 m/s | h891 cells<=5km 0 (SE-road 0)
NOZ9EG at FLY_PUNKT2                     (61.2160,10.8960) cell 61.2,10.8 drive 2.58h snap 1441m | rel fakta 0.56 alt 0.84 innl 0.30 fly 0.36 | flyKm 5.1 | point: windyBlue=False sol23=False utelukket=None | treslag 0.71 (furu 0.51 gran 0.43 lauv 0.06) | wind1749 2.7 m/s | h891 cells<=5km 36 (SE-road 20)
SAS50J 25.09 17:22                       (60.5900,11.5360) cell 60.6,11.6 drive 2.29h snap 369m | rel fakta 0.41 alt 0.58 innl 0.49 fly 0.07 | flyKm 24.5 | point: windyBlue=False sol23=False utelukket=None | treslag 0.65 (furu 0.56 gran 0.43 lauv 0.0) | wind1749 1.9 m/s | h891 cells<=5km 0 (SE-road 0)
