lat,lon,moh,road_m,road_to_SE,in_innlandet,kommune,vercel_verdict,utelukket_cls,in_fellesskap891,treslag_score,in_storvilt,vern_jakt,wind_ms_2309_1749,drive_h_oslo,NOZ56U_min_km,NOZ56U_max_elev_deg,NOZ9EG_min_km,NOZ9EG_max_elev_deg,in_norway,windy_cloud
59.79,8.72,893.0,611.0,1.0,False,Hjartdal,usikkert,R,False,,False,none,2.8,2.72,169.2,1.03,206.1,1.01,True,False
59.79,8.73,892.0,438.0,1.0,False,Hjartdal,usikkert,R,False,,False,none,2.8,2.72,168.75,1.04,205.79,1.02,True,False
59.79,8.74,801.0,3.0,1.0,False,Hjartdal,usikkert,R,False,,False,none,2.8,2.72,168.3,1.08,205.47,1.05,True,False
59.79,8.76,808.0,9.0,1.0,False,Hjartdal,usikkert,open,False,,False,none,2.8,2.72,167.41,1.09,204.84,1.05,True,False
59.79,8.77,883.0,36.0,1.0,False,Hjartdal,usikkert,open,False,,False,none,2.8,2.72,166.96,1.07,204.53,1.04,True,False
59.79,8.8,889.0,807.0,0.0,False,Hjartdal,usikkert,open,False,,False,none,2.8,2.72,165.63,1.09,203.6,1.05,True,False
59.79,8.81,901.0,675.0,1.0,False,Hjartdal,usikkert,open,False,,False,none,2.8,2.72,165.19,1.09,203.29,1.05,True,False
59.79,8.82,909.0,546.0,1.0,False,Hjartdal,usikkert,open,False,,False,none,2.8,2.72,164.74,1.1,202.99,1.05,True,False
59.79,8.87,907.0,883.0,0.0,False,Hjartdal,usikkert,open,False,,False,none,2.8,2.72,162.54,1.13,201.46,1.07,True,False
59.795,8.61,908.0,890.0,1.0,False,Hjartdal,usikkert,R,False,,False,tillatt,2.8,2.91,173.84,0.96,209.19,0.97,True,False
59.795,8.62,889.0,666.0,1.0,False,Hjartdal,usikkert,R,False,,False,none,2.8,2.91,173.39,0.98,208.87,0.98,True,False
59.795,8.72,911.0,763.0,0.0,False,Hjartdal,usikkert,R,False,,False,none,2.8,2.72,168.87,1.03,205.64,1.01,True,False
59.795,8.75,848.0,10.0,1.0,False,Hjartdal,usikkert,open,False,,False,none,2.8,2.72,167.52,1.07,204.7,1.04,True,False
59.795,8.85,898.0,277.0,1.0,False,Hjartdal,usikkert,open,False,,False,none,2.8,2.72,163.08,1.12,201.6,1.07,True,False
59.795,8.94,816.0,898.0,0.0,False,Notodden,usikkert,open,False,,False,none,2.8,2.31,159.14,1.21,198.91,1.13,True,False
59.8,8.6,862.0,693.0,0.0,False,Hjartdal,usikkert,R,False,,False,tillatt,4.0,2.91,173.98,0.98,209.07,0.98,True,False
59.8,8.61,823.0,435.0,0.0,False,Hjartdal,usikkert,R,False,,False,none,2.8,2.91,173.52,1.0,208.74,1.0,True,False
59.8,8.84,910.0,586.0,0.0,False,Hjartdal,usikkert,open,False,,False,none,2.8,2.72,163.18,1.12,201.44,1.07,True,False
59.8,8.9,904.0,747.0,0.0,False,Notodden,usikkert,open,False,,False,none,2.8,2.72,160.54,1.16,199.62,1.1,True,False
59.8,8.91,903.0,420.0,0.0,False,Notodden,usikkert,open,False,,False,none,2.8,2.31,160.1,1.17,199.33,1.1,True,False
59.8,8.94,808.0,342.0,0.0,False,Notodden,usikkert,open,False,,False,none,2.8,2.31,158.79,1.22,198.43,1.14,True,False
59.8,8.95,877.0,651.0,0.0,False,Notodden,usikkert,open,False,,False,none,2.8,2.31,158.35,1.21,198.14,1.12,True,False
59.805,8.59,879.0,499.0,0.0,False,Hjartdal,usikkert,R,False,,False,tillatt,4.0,2.91,174.11,0.97,208.95,0.98,True,False
59.805,8.92,874.0,73.0,1.0,False,Notodden,usikkert,open,False,,False,none,2.8,2.31,159.31,1.19,198.56,1.12,True,False
59.805,8.93,834.0,1.0,1.0,False,Notodden,usikkert,open,False,,False,none,2.8,2.31,158.88,1.21,198.26,1.14,True,False
59.805,8.95,797.0,595.0,0.0,False,Notodden,usikkert,open,False,,False,none,2.8,2.31,158.0,1.24,197.67,1.15,True,False
59.81,8.59,798.0,138.0,1.0,False,Hjartdal,usikkert,R,False,,False,none,4.0,2.91,173.8,1.0,208.5,1.01,True,False
59.81,8.63,895.0,218.0,1.0,False,Hjartdal,usikkert,R,False,,False,none,2.8,2.91,171.96,1.0,207.18,1.0,True,False
59.81,8.67,884.0,76.0,1.0,False,Hjartdal,usikkert,R,False,,False,tillatt,2.8,2.91,170.14,1.03,205.88,1.02,True,False
59.815,8.58,907.0,402.0,1.0,False,Hjartdal,usikkert,R,False,,False,none,4.0,2.91,173.94,0.96,208.39,0.98,True,False
59.815,8.61,844.0,70.0,1.0,False,Hjartdal,usikkert,R,False,,False,none,2.8,2.91,172.56,1.0,207.39,1.01,True,False
59.815,8.62,831.0,1.0,1.0,False,Hjartdal,usikkert,R,False,,False,none,2.8,2.91,172.1,1.02,207.06,1.02,True,False
59.815,9.14,908.0,612.0,0.0,False,Tinn,usikkert,open,False,,False,none,2.9,2.08,149.14,1.35,191.29,1.21,True,False
59.82,8.59,837.0,43.0,1.0,False,Hjartdal,usikkert,R,False,,False,none,4.0,2.91,173.16,1.0,207.61,1.01,True,False
59.82,8.6,887.0,265.0,1.0,False,Hjartdal,usikkert,R,False,,False,none,4.0,2.91,172.7,0.99,207.28,1.0,True,False
59.82,8.62,876.0,166.0,1.0,False,Hjartdal,usikkert,R,False,,False,none,2.8,2.91,171.78,1.01,206.61,1.01,True,False
59.82,8.66,897.0,563.0,1.0,False,Hjartdal,usikkert,R,False,,False,tillatt,2.8,2.91,169.95,1.02,205.3,1.02,True,False
59.82,9.14,823.0,228.0,0.0,False,Tinn,usikkert,open,False,,False,none,2.9,2.08,148.77,1.39,190.8,1.25,True,False
59.825,8.61,847.0,490.0,1.0,False,Hjartdal,usikkert,R,False,,False,none,2.8,2.91,171.93,1.01,206.5,1.02,True,False
59.825,9.14,851.0,74.0,1.0,False,Tinn,usikkert,open,False,,False,none,2.9,2.08,148.41,1.38,190.32,1.25,True,False
59.83,8.9,907.0,724.0,1.0,False,Notodden,usikkert,open,False,,False,none,2.8,2.72,158.48,1.2,196.82,1.14,True,False
59.83,8.91,811.0,252.0,1.0,False,Notodden,usikkert,open,False,,False,none,2.8,2.31,158.04,1.24,196.51,1.17,True,False
59.83,9.14,833.0,105.0,1.0,False,Tinn,usikkert,open,False,,False,none,2.9,2.08,148.05,1.4,189.84,1.26,True,False
59.835,8.85,905.0,392.0,1.0,False,Notodden,usikkert,open,False,,False,none,2.8,2.72,160.38,1.17,197.88,1.12,True,False
59.835,8.86,900.0,49.0,0.0,False,Notodden,usikkert,open,False,,False,none,2.8,2.72,159.93,1.18,197.58,1.13,True,False
59.835,8.87,890.0,430.0,0.0,False,Notodden,usikkert,open,False,,False,none,2.8,2.72,159.48,1.19,197.27,1.14,True,False
59.835,8.89,856.0,250.0,0.0,False,Notodden,usikkert,open,False,,False,none,2.8,2.72,158.59,1.21,196.65,1.15,True,False
59.835,8.9,805.0,238.0,1.0,False,Notodden,usikkert,open,False,,False,none,2.8,2.72,158.15,1.24,196.35,1.17,True,False
59.835,9.14,817.0,184.0,1.0,False,Tinn,usikkert,open,False,,False,none,2.9,2.08,147.69,1.41,189.35,1.27,True,False
59.84,8.86,904.0,324.0,1.0,False,Notodden,usikkert,open,False,,False,none,2.8,2.72,159.6,1.18,197.11,1.13,True,False
59.84,8.87,874.0,87.0,0.0,False,Notodden,usikkert,open,False,,False,none,2.8,2.72,159.15,1.2,196.8,1.15,True,False
59.84,8.88,869.0,458.0,1.0,False,Notodden,usikkert,open,False,,False,none,2.8,2.72,158.7,1.21,196.5,1.15,True,False
59.84,8.89,823.0,10.0,1.0,False,Notodden,usikkert,open,False,,False,none,2.8,2.72,158.26,1.23,196.19,1.17,True,False
59.84,9.14,811.0,40.0,1.0,False,Tinn,usikkert,open,False,,False,none,2.9,2.08,147.33,1.42,188.87,1.28,True,False
59.845,8.86,892.0,116.0,1.0,False,Notodden,usikkert,open,False,,False,none,2.8,2.72,159.26,1.19,196.65,1.14,True,False
59.845,8.88,859.0,63.0,1.0,False,Notodden,usikkert,open,False,,False,none,2.8,2.72,158.37,1.22,196.03,1.16,True,False
59.845,8.89,796.0,299.0,1.0,False,Notodden,usikkert,open,False,,False,none,2.8,2.72,157.92,1.24,195.72,1.18,True,False
59.845,9.14,818.0,40.0,0.0,False,Tinn,usikkert,open,False,,False,none,2.9,2.08,146.97,1.42,188.39,1.29,True,False
59.85,8.86,909.0,256.0,1.0,False,Notodden,usikkert,open,False,,False,none,2.8,3.19,158.93,1.19,196.19,1.15,True,False
59.85,8.87,858.0,436.0,1.0,False,Notodden,usikkert,open,False,,False,none,2.8,3.19,158.48,1.21,195.88,1.17,True,False
59.85,8.88,817.0,92.0,1.0,False,Notodden,usikkert,open,False,,False,none,2.8,3.19,158.04,1.24,195.57,1.18,True,False
59.855,8.86,900.0,812.0,1.0,False,Notodden,usikkert,open,False,,False,none,2.8,3.19,158.6,1.2,195.72,1.16,True,False
59.855,8.87,850.0,843.0,1.0,False,Notodden,usikkert,open,False,,False,none,2.8,3.19,158.15,1.22,195.41,1.17,True,False
