# Bright-star catalogue for hordewatch.astro: all Hipparcos stars with V <= 5.0 (1625 stars)
# Source: HYG database v4.1 (astronexus), https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
# HYG = Hipparcos + Yale Bright Star Catalog + Gliese; licence CC BY-SA 4.0 (http://creativecommons.org/licenses/by-sa/4.0/)
# ra_deg/dec_deg: ICRS/J2000, epoch J2000 (HYG ra hours x 15); pmra = mu_alpha* (mas/yr, x cos dec); vmag = V
# Generated by hordewatch.astro.stars.build_catalogue_from_hyg; sorted by vmag (row k = k-th brightest)
name,hip,ra_deg,dec_deg,pmra_mas_yr,pmdec_mas_yr,vmag
Sirius,32349,101.287215,-16.716116,-546.01,-1223.08,-1.44
Canopus,30438,95.987925,-52.695660,19.99,23.67,-0.62
Arcturus,69673,213.915450,19.182410,-1093.45,-1999.40,-0.05
Rigil Kentaurus,71683,219.911475,-60.833976,-3678.19,481.84,-0.01
Vega,91262,279.234600,38.783692,201.02,287.46,0.03
Capella,24608,79.172250,45.997991,75.52,-427.13,0.08
Rigel,24436,78.634470,-8.201640,1.87,-0.56,0.18
Procyon,37279,114.825495,5.224993,-716.57,-1034.58,0.40
Betelgeuse,27989,88.792935,7.407063,27.33,10.86,0.45
Achernar,7588,24.428340,-57.236757,88.02,-40.08,0.45
Hadar,68702,210.955935,-60.373039,-33.96,-25.06,0.61
Altair,97649,297.695820,8.868322,536.82,385.54,0.76
Acrux,60718,186.649665,-63.099092,-35.37,-14.73,0.77
Aldebaran,21421,68.980155,16.509301,62.78,-189.36,0.87
Spica,65474,201.298245,-11.161322,-42.50,-31.73,0.98
Antares,80763,247.351920,-26.432002,-10.16,-23.21,1.06
Pollux,37826,116.329155,28.026199,-625.69,-45.95,1.16
Fomalhaut,113368,344.412570,-29.622236,329.22,-164.22,1.17
Deneb,102098,310.357980,45.280338,1.56,1.55,1.25
Mimosa,62434,191.930385,-59.688764,-48.24,-12.82,1.25
Toliman,71681,219.905190,-60.838300,-3678.19,481.84,1.35
Regulus,49669,152.092980,11.967207,-249.40,4.91,1.36
Adhara,33579,104.656455,-28.972084,2.63,2.29,1.50
Castor,36850,113.649510,31.888276,-206.33,-148.18,1.58
Gacrux,61084,187.791435,-57.113212,27.94,-264.33,1.59
Shaula,85927,263.402175,-37.103821,-8.90,-29.95,1.62
Bellatrix,25336,81.282765,6.349702,-8.75,-13.28,1.64
Elnath,25428,81.572970,28.607450,23.28,-174.22,1.65
Miaplacidus,45238,138.300615,-69.717208,-157.66,108.91,1.67
Alnilam,26311,84.053385,-1.201920,1.49,-1.06,1.69
Alnair,109268,332.058135,-46.960975,127.60,-147.91,1.73
Alnitak,26727,85.189695,-1.942572,3.99,2.54,1.74
Gam2Vel,39953,122.383140,-47.336588,-5.93,9.90,1.75
Alioth,62956,193.507080,55.959821,111.74,-8.99,1.76
Kaus Australis,90185,276.043020,-34.384616,-39.61,-124.05,1.79
Mirfak,15863,51.080670,49.861180,24.11,-26.01,1.79
Dubhe,54061,165.932325,61.751033,-136.46,-35.25,1.81
Wezen,34444,107.097855,-26.393200,-2.75,3.33,1.83
Alkaid,67301,206.885310,49.313265,-121.23,-15.56,1.85
Avior,41037,125.628540,-59.509483,-25.34,22.72,1.86
Sargas,86228,264.329700,-42.997824,6.06,-0.95,1.86
Menkalinan,28360,89.882235,44.947433,-56.41,-0.88,1.90
Atria,82273,252.166155,-69.027715,17.85,-32.92,1.91
Alhena,31681,99.427920,16.399252,-2.04,-66.92,1.93
Alsephina,42913,131.175885,-54.708821,28.78,-104.14,1.93
Peacock,100751,306.411885,-56.735090,7.71,-86.15,1.94
Polaris,11767,37.946250,89.264109,44.22,-11.74,1.97
Mirzam,30324,95.674935,-17.955918,-3.45,-0.47,1.98
Alphard,46390,141.896850,-8.658603,-14.49,33.25,1.99
Algieba,50583,154.993095,19.841489,310.77,-152.88,2.01
Hamal,9884,31.793325,23.462423,190.73,-145.77,2.01
Diphda,3419,10.897350,-17.986605,232.79,32.71,2.04
Nunki,92855,283.816350,-26.296722,13.87,-52.65,2.05
Menkent,68933,211.670925,-36.369954,-519.29,-517.87,2.06
Kochab,72607,222.676575,74.155505,-32.29,11.91,2.07
Tiaki,112122,340.666725,-46.884577,135.68,-4.51,2.07
Mirach,5447,17.432910,35.620558,175.59,-112.23,2.07
Saiph,27366,86.939115,-9.669605,1.55,-1.20,2.07
Alpheratz,677,2.096865,29.090432,135.68,-162.95,2.07
Rasalhague,86032,263.733615,12.560035,110.08,-222.61,2.08
Algol,14576,47.042220,40.955648,2.39,-1.44,2.09
Almach,9640,30.974760,42.329725,43.08,-50.85,2.10
Denebola,57632,177.264945,14.572060,-499.02,-113.78,2.14
Cih,4427,14.177145,60.716740,25.65,-3.82,2.15
Gam Cen,61932,190.379565,-48.959888,-187.28,-1.20,2.20
Naos,39429,120.896055,-40.003148,-30.82,16.77,2.21
Aspidiske,45556,139.272570,-59.275229,-19.03,13.11,2.21
Alphecca,76267,233.671920,26.714693,120.38,-89.44,2.22
Mizar,65378,200.981205,54.925362,121.23,-22.01,2.23
Suhail,44816,136.999020,-43.432589,-23.21,14.28,2.23
Sadr,100453,305.557095,40.256679,2.43,-0.93,2.23
Schedar,3179,10.126740,56.537331,50.36,-32.17,2.24
Eltanin,87833,269.151555,51.488895,-8.52,-23.05,2.24
Mintaka,25930,83.001675,-0.299092,1.67,0.56,2.25
Caph,746,2.293305,59.149780,523.39,-180.42,2.28
Larawag,82396,252.541200,-34.293232,-611.83,-255.87,2.29
Dschubba,78401,240.083355,-22.621710,-8.67,-36.90,2.29
Eps Cen,66657,204.971940,-53.466394,-14.60,-12.79,2.29
Alp Lup,71860,220.482345,-47.388200,-21.15,-24.22,2.30
Eta Cen,71352,218.876790,-42.157824,-35.31,-32.44,2.33
Merak,53910,165.460155,56.382427,81.66,33.74,2.34
Izar,72105,221.246760,27.074222,-50.65,20.00,2.35
Enif,107315,326.046495,9.875011,30.02,1.38,2.38
Kap Sco,86670,265.621980,-39.029983,-6.49,-25.55,2.39
Ankaa,2081,6.570840,-42.305981,232.76,-353.64,2.40
Phecda,58001,178.457520,53.694760,107.76,11.16,2.41
Sabik,84012,257.594520,-15.724910,41.16,97.65,2.43
Scheat,113881,345.943515,28.082789,187.76,137.61,2.44
Aludra,35904,111.023760,-29.303104,-3.76,6.66,2.45
Alderamin,105199,319.644450,62.585573,149.91,48.27,2.45
Markeb,45941,140.528430,-55.010668,-10.72,11.24,2.47
Aljanah,102488,311.552670,33.970256,356.16,330.28,2.48
Markab,113963,346.190220,15.205264,61.10,-42.56,2.49
13Zet Oph,81377,249.289740,-10.567090,13.07,25.44,2.54
Menkar,14135,45.569880,4.089734,-11.81,-78.76,2.54
Zet Cen,68002,208.885005,-47.288375,-57.14,-44.75,2.55
Zosma,54872,168.527070,20.523717,143.31,-130.43,2.56
Acrab,78820,241.359300,-19.805453,-6.75,-24.89,2.56
Gienah,59803,183.951555,-17.541929,-159.58,22.31,2.58
Del Cen,59196,182.089650,-50.722425,-47.53,-6.42,2.58
Arneb,25985,83.182560,-17.822289,3.27,1.54,2.58
Ascella,93506,285.652980,-29.880105,-14.10,3.66,2.60
Zubeneschamali,74785,229.251735,-9.382917,-96.39,-20.76,2.61
Unukalhai,77070,236.066970,6.425627,134.66,44.14,2.63
Sheratan,8903,28.660020,20.808035,96.32,-108.80,2.64
Mahasim,28380,89.930265,37.212585,42.09,-73.61,2.65
Phact,26634,84.912255,-34.074108,-0.10,-24.05,2.65
Kraz,61359,188.596815,-23.396759,0.86,-56.00,2.65
Ruchbah,6686,21.453240,60.235283,297.24,-49.49,2.66
Muphrid,67927,208.671165,18.397717,-60.95,-358.10,2.68
Bet Lup,73273,224.633055,-43.133960,-34.06,-38.30,2.68
Hassaleh,23015,74.248410,33.166090,3.63,-18.54,2.69
Alp Mus,61585,189.296085,-69.135564,-39.87,-12.44,2.69
Mu Vel,52727,161.692320,-49.420255,62.55,-53.57,2.69
Lesath,85696,262.690980,-37.295811,-4.19,-29.14,2.70
Pi Pup,35264,109.285665,-37.097470,-10.57,7.00,2.71
Tarazed,97278,296.564910,10.613261,15.72,-3.08,2.72
Kaus Media,89931,275.248500,-29.828103,29.96,-26.38,2.72
Athebyne,80331,245.997900,61.514213,-16.98,56.68,2.73
Yed Prior,79593,243.586410,-3.694323,-45.83,-142.91,2.73
Porrima,61941,190.415175,-1.449375,-616.66,60.66,2.74
The Car,52419,160.739235,-64.394450,-18.87,12.06,2.74
Iot Cen,65109,200.149440,-36.712295,-340.76,-87.98,2.75
Hatysa,26241,83.858265,-5.909901,2.27,-0.62,2.75
Zubenelgenubi,72622,222.719655,-16.041778,-105.69,-69.00,2.75
Cebalrai,86742,265.868145,4.567303,-40.67,158.80,2.76
Rasalgethi,84345,258.661905,14.390333,-6.71,32.78,2.78
Cursa,23875,76.962435,-5.086446,-83.39,-75.44,2.78
Kornephoros,80816,247.555020,21.489613,-98.43,-14.49,2.78
Rastaban,85670,262.608195,52.301387,-15.59,11.57,2.79
Imai,59747,183.786405,-58.748928,-36.68,-10.72,2.79
Gam Lup,76297,233.785215,-41.166757,-16.05,-25.52,2.80
40Zet Her,81693,250.321695,31.602726,-462.58,345.05,2.81
Nihal,25606,82.061340,-20.759441,-5.03,-85.92,2.81
Bet Hyi,2021,6.418740,-77.254247,2220.12,324.37,2.82
Paikauhale,81266,248.970645,-28.216016,-8.59,-22.50,2.82
Kaus Borealis,90496,276.992685,-25.421700,-44.81,-186.29,2.82
Tureis,39757,121.886055,-24.304324,-83.29,46.38,2.83
Bet TrA,77952,238.786245,-63.430727,-188.45,-401.92,2.83
Algenib,1067,3.308970,15.183596,4.70,-8.24,2.83
Bet Ara,85258,261.324975,-55.529884,-8.23,-24.71,2.84
Alp Ara,85792,262.960425,-49.876145,-31.27,-67.15,2.84
44Zet Per,18246,58.533000,31.883635,4.41,-9.15,2.84
Deneb Algedi,107556,326.760165,-16.127286,263.26,-296.23,2.85
Vindemiatrix,63608,195.544170,10.959150,-275.05,19.96,2.85
Alcyone,17702,56.871150,24.105137,19.35,-43.11,2.85
Fawaris,97165,296.243610,45.130810,43.22,48.44,2.86
Alp Hyi,9236,29.691765,-61.569859,262.54,26.88,2.86
Gam TrA,74946,229.727715,-68.679545,-66.48,-32.00,2.87
Alp Tuc,110130,334.625565,-60.259587,-71.48,-38.15,2.87
Tejat,30343,95.740095,22.513586,56.84,-108.79,2.87
Albaldah,94141,287.440965,-21.023615,-1.17,-36.83,2.88
Acamar,13847,44.565345,-40.304672,-53.53,25.71,2.88
Fang,78265,239.712975,-26.114105,-12.00,-25.71,2.89
Cor Caroli,63125,194.007105,38.318380,-233.43,54.98,2.89
Gomeisa,36188,111.787680,8.289315,-50.28,-38.45,2.89
Sadalsuud,106278,322.889730,-5.571172,22.79,-6.70,2.90
45Eps Per,18532,59.463450,40.010215,12.61,-24.06,2.90
Alniyat,80112,245.297145,-25.592796,-10.03,-18.03,2.90
23Gam Per,14328,46.199130,53.506440,0.50,-4.19,2.91
Ups Car,48002,146.775540,-65.072007,-11.55,4.97,2.92
Matar,112158,340.750560,30.221245,13.11,-26.11,2.93
Tau Pup,32768,102.483990,-50.614560,34.23,-65.85,2.94
Algorab,60965,187.466085,-16.515432,-209.97,-139.30,2.94
Sadalmelik,109074,331.445985,-0.319851,17.90,-9.93,2.95
Tianguan,26451,84.411195,21.142549,2.39,-18.04,2.97
Ras Elased Australis,47908,146.462820,23.774255,-46.09,-9.57,2.97
Zaurak,18543,59.507355,-13.508515,60.51,-111.34,2.97
Alnasl,88635,271.452045,-30.424091,-55.75,-181.53,2.98
46Gam Hya,64962,199.730385,-23.171512,68.41,-41.09,2.99
Iot1Sco,87073,266.896170,-40.126997,0.44,-6.40,2.99
Okab,93747,286.352535,13.863478,-7.04,-95.31,2.99
4Bet Tri,10064,32.385870,34.987297,148.78,-39.13,3.00
52Psi UMa,54539,167.415930,44.498487,-62.35,-27.38,3.00
