rank,lat,lon,p_cell,p_within_1.5km,aircraft_2109_2129_point,aircraft_2209_2032_flyy,aircraft_2209_2034_follow,aircraft_2509_1722_point,approach_direction,defaultno_model,elevation_hint,forest_species,military,norway,road_access,travel,norgeskart
1,61.2450,10.8700,1.939e-03,0.0130,1.59,1.21,2.13,-0.01,0.11,0.04,2.65,-0.33,0.0,0.0,0.08,0.22,https://norgeskart.no/#!?project=norgeskart&layers=1002&zoom=14&lat=61.24500&lon=10.87000&markerLat=61.24500&markerLon=10.87000
2,61.3900,10.8900,1.853e-03,0.0173,1.58,1.34,2.15,-0.01,0.11,-0.31,2.67,0.14,0.0,0.0,0.08,-0.1,https://norgeskart.no/#!?project=norgeskart&layers=1002&zoom=14&lat=61.39000&lon=10.89000&markerLat=61.39000&markerLon=10.89000
3,61.1550,10.8600,1.768e-03,0.0131,1.59,1.18,2.04,-0.01,0.11,-0.31,2.14,0.3,0.0,0.0,0.08,0.48,https://norgeskart.no/#!?project=norgeskart&layers=1002&zoom=14&lat=61.15500&lon=10.86000&markerLat=61.15500&markerLon=10.86000
4,61.3350,10.9500,1.694e-03,0.0084,1.59,1.33,2.16,-0.01,0.11,0.04,2.65,-0.33,0.0,0.0,0.08,-0.06,https://norgeskart.no/#!?project=norgeskart&layers=1002&zoom=14&lat=61.33500&lon=10.95000&markerLat=61.33500&markerLon=10.95000
5,61.2100,10.9300,1.622e-03,0.0089,1.59,1.23,2.16,-0.01,0.11,-0.31,2.65,-0.33,0.0,0.0,0.08,0.35,https://norgeskart.no/#!?project=norgeskart&layers=1002&zoom=14&lat=61.21000&lon=10.93000&markerLat=61.21000&markerLon=10.93000
6,61.3150,10.9700,1.590e-03,0.0102,1.59,1.31,2.16,-0.01,0.11,-0.31,2.67,-0.06,0.0,0.0,0.08,-0.04,https://norgeskart.no/#!?project=norgeskart&layers=1002&zoom=14&lat=61.31500&lon=10.97000&markerLat=61.31500&markerLon=10.97000
7,61.3400,11.0900,1.501e-03,0.0062,1.54,1.33,2.16,-0.01,0.11,0.04,2.44,-0.33,0.0,0.0,0.08,0.07,https://norgeskart.no/#!?project=norgeskart&layers=1002&zoom=14&lat=61.34000&lon=11.09000&markerLat=61.34000&markerLon=11.09000
8,61.4200,10.9800,1.415e-03,0.0049,1.45,1.34,2.16,-0.01,0.11,0.04,2.59,-0.33,0.0,0.0,0.08,-0.04,https://norgeskart.no/#!?project=norgeskart&layers=1002&zoom=14&lat=61.42000&lon=10.98000&markerLat=61.42000&markerLon=10.98000
9,61.2950,10.8100,1.367e-03,0.0183,1.59,1.1,1.99,-0.01,0.11,-0.31,2.67,-0.06,0.0,0.0,0.08,0.19,https://norgeskart.no/#!?project=norgeskart&layers=1002&zoom=14&lat=61.29500&lon=10.81000&markerLat=61.29500&markerLon=10.81000
10,61.3750,10.9800,1.280e-03,0.0081,1.58,1.34,2.16,-0.01,0.11,0.04,2.35,-0.33,0.0,0.0,0.08,-0.04,https://norgeskart.no/#!?project=norgeskart&layers=1002&zoom=14&lat=61.37500&lon=10.98000&markerLat=61.37500&markerLon=10.98000
11,61.1600,10.9800,1.228e-03,0.0056,1.59,1.23,2.16,-0.01,0.11,-0.31,2.29,-0.33,0.0,0.0,0.01,0.51,https://norgeskart.no/#!?project=norgeskart&layers=1002&zoom=14&lat=61.16000&lon=10.98000&markerLat=61.16000&markerLon=10.98000
12,61.2750,11.1800,1.136e-03,0.0063,0.96,1.25,2.15,-0.01,0.11,0.04,2.67,-0.11,0.0,0.0,-0.06,0.16,https://norgeskart.no/#!?project=norgeskart&layers=1002&zoom=14&lat=61.27500&lon=11.18000&markerLat=61.27500&markerLon=11.18000
13,61.4100,10.8800,1.094e-03,0.0062,1.53,1.34,2.14,-0.01,0.11,-0.31,2.67,-0.33,0.0,0.0,0.08,-0.1,https://norgeskart.no/#!?project=norgeskart&layers=1002&zoom=14&lat=61.41000&lon=10.88000&markerLat=61.41000&markerLon=10.88000
14,61.1350,10.9000,1.093e-03,0.0080,1.59,1.22,2.1,-0.01,0.11,-0.31,2.14,-0.33,0.0,0.0,0.08,0.53,https://norgeskart.no/#!?project=norgeskart&layers=1002&zoom=14&lat=61.13500&lon=10.90000&markerLat=61.13500&markerLon=10.90000
15,61.4500,10.8700,1.082e-03,0.0042,1.03,1.34,2.14,-0.01,0.11,0.58,2.26,-0.33,0.0,0.0,0.08,-0.09,https://norgeskart.no/#!?project=norgeskart&layers=1002&zoom=14&lat=61.45000&lon=10.87000&markerLat=61.45000&markerLon=10.87000
16,61.4250,10.8300,1.052e-03,0.0056,1.38,1.33,2.09,-0.01,0.11,-0.31,2.52,0.03,0.0,0.0,0.08,-0.11,https://norgeskart.no/#!?project=norgeskart&layers=1002&zoom=14&lat=61.42500&lon=10.83000&markerLat=61.42500&markerLon=10.83000
17,61.1900,10.8100,1.019e-03,0.0066,1.59,0.99,1.9,-0.01,0.11,-0.31,2.61,-0.33,0.0,0.0,0.08,0.43,https://norgeskart.no/#!?project=norgeskart&layers=1002&zoom=14&lat=61.19000&lon=10.81000&markerLat=61.19000&markerLon=10.81000
18,61.2250,10.8900,9.915e-04,0.0047,1.59,1.22,2.14,-0.01,-0.33,0.04,2.33,-0.33,0.0,0.0,0.08,0.29,https://norgeskart.no/#!?project=norgeskart&layers=1002&zoom=14&lat=61.22500&lon=10.89000&markerLat=61.22500&markerLon=10.89000
19,61.3800,10.9400,9.897e-04,0.0078,1.59,1.34,2.16,-0.01,0.11,-0.31,2.47,-0.33,0.0,0.0,0.08,-0.07,https://norgeskart.no/#!?project=norgeskart&layers=1002&zoom=14&lat=61.38000&lon=10.94000&markerLat=61.38000&markerLon=10.94000
20,61.1350,10.8600,9.201e-04,0.0148,1.59,1.17,1.96,-0.01,0.11,-0.31,2.24,-0.33,0.0,0.0,0.08,0.45,https://norgeskart.no/#!?project=norgeskart&layers=1002&zoom=14&lat=61.13500&lon=10.86000&markerLat=61.13500&markerLon=10.86000
